,Q,S,male,Tier 2,Tier 3,Miss,Mr,Mrs,Other,Kid,Old,Teen,Young,Unique_ticket_status,Sibling_present,Parent_present
989,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
1133,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
242,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
17,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
432,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1
443,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
808,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
708,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
824,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
207,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
986,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1158,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
772,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
275,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
686,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1
345,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
852,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1
494,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
619,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0
340,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
175,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1
37,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
320,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
880,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
1057,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1135,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1
463,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0
1134,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0
